"","country","region","year","co2","population","gdp","tpes"
"1","Canada","OECD Americas",1971,340.146604,21.962,461.302,5918.1509
"2","Chile","OECD Americas",1971,21.029624,9.736,61.825,364.4169
"3","Mexico","OECD Americas",1971,93.724832,53.448,467.972,1799.18
"4","United States","OECD Americas",1971,4288.093141,207.692,4937.198,66464.1799
"5","Australia","OECD Asia Oceania",1971,143.356059,13.198,282.145,2160.9683
"6","Israel","OECD Asia Oceania",1971,13.773179,3.046,41.183,240.2957
"7","Japan","OECD Asia Oceania",1971,750.65674,104.983,1539.774,11200.8818
"8","Korea","OECD Asia Oceania",1971,52.935926,32.883,88.895,710.5467
"9","New Zealand","OECD Asia Oceania",1971,13.50163,2.864,54.69,285.8552
"10","Austria","OECD Europe",1971,48.597098,7.501,137.58,787.7513
"11","Belgium","OECD Europe",1971,117.921926,9.66,182.436,1660.4653
"12","Czech Republic","OECD Europe",1971,153.573602,9.831,139.802,1900.1477
"13","Denmark","OECD Europe",1971,55.402358,4.963,115.095,774.7759
"14","Estonia","OECD Europe",1971,NA,NA,NA,NA
"15","Finland","OECD Europe",1971,39.840291,4.612,72.774,760.6633
"16","France","OECD Europe",1971,423.210644,52.434,974.782,6639.0501
"17","Germany","OECD Europe",1971,978.194112,78.345,1486.606,12771.802
"18","Greece","OECD Europe",1971,25.064637,8.922,133.051,363.8376
"19","Hungary","OECD Europe",1971,60.274548,10.365,99.963,797.1007
"20","Iceland","OECD Europe",1971,1.403656,0.206,3.426,37.7801
"21","Ireland","OECD Europe",1971,21.636074,2.978,33.578,281.2742
"22","Italy","OECD Europe",1971,289.300836,54.074,946.515,4412.7731
"23","Latvia","OECD Europe",1971,NA,NA,NA,NA
"24","Luxembourg","OECD Europe",1971,16.450787,0.342,9.669,170.075
"25","Netherlands","OECD Europe",1971,127.628138,13.194,289.26,2129.7321
"26","Norway","OECD Europe",1971,22.99416,3.903,87.471,557.9418
"27","Poland","OECD Europe",1971,287.372979,32.8,286.353,3605.796
"28","Portugal","OECD Europe",1971,14.385286,8.728,98.548,262.7553
"29","Slovak Republic","OECD Europe",1971,38.874162,4.557,52.348,596.9725
"30","Slovenia","OECD Europe",1971,NA,NA,NA,NA
"31","Spain","OECD Europe",1971,119.039259,34.622,498.704,1783.8355
"32","Sweden","OECD Europe",1971,82.016144,8.098,171.915,1508.9514
"33","Switzerland","OECD Europe",1971,38.905762,6.343,225.674,686.1705
"34","Turkey","OECD Europe",1971,41.729836,36.215,253.942,818.2563
"35","United Kingdom","OECD Europe",1971,620.999769,55.928,950.912,8736.8643
"36","Albania","Non-OECD Europe and Eurasia",1971,3.863798,2.188,7.477,71.9216
"37","Armenia","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"38","Azerbaijan","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"39","Belarus","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"40","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"41","Bulgaria","Non-OECD Europe and Eurasia",1971,63.84176,8.536,34.258,796.5367
"42","Croatia","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"43","Cyprus","Non-OECD Europe and Eurasia",1971,1.743835,0.617,3.554,24.5858
"44","FYR of Macedonia","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"45","Georgia","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"46","Gibraltar","Non-OECD Europe and Eurasia",1971,0.068505,0.026,0.373,1.2362
"47","Kazakhstan","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"48","Kosovo","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"49","Kyrgyzstan","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"50","Lithuania","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"51","Malta","Non-OECD Europe and Eurasia",1971,0.654838,0.303,1.469,8.8202
"52","Republic of Moldova","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"53","Montenegro","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"54","Romania","Non-OECD Europe and Eurasia",1971,114.646895,20.462,106.583,1763.8117
"55","Russian Federation","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"56","Serbia","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"57","Tajikistan","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
